id,top_color,bottom_color,dress_type,pattern,skin_tone,body_type,fabric,accessories,occasion,recommended_outfit
1,pink,white,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"pink top with white bottom, A-line dress with geometric pattern"
2,pink,white,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"pink top with white bottom, A-line dress with abstract pattern"
3,pink,white,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"pink top with white bottom, A-line dress with plain pattern"
4,pink,white,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",evening,"pink top with white bottom, Bodycon dress with geometric pattern"
5,pink,white,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",weekend,"pink top with white bottom, Bodycon dress with abstract pattern"
6,pink,white,Bodycon,plain,fair,hourglass,silk,"['necklace', 'bracelet']",casual,"pink top with white bottom, Bodycon dress with plain pattern"
7,pink,white,Fit-and-Flare,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",office,"pink top with white bottom, Fit-and-Flare dress with geometric pattern"
8,pink,white,Fit-and-Flare,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",formal,"pink top with white bottom, Fit-and-Flare dress with abstract pattern"
9,pink,white,Fit-and-Flare,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",party,"pink top with white bottom, Fit-and-Flare dress with plain pattern"
10,pink,beige,A-line,geometric,fair,hourglass,cotton,"['necklace', 'bracelet']",evening,"pink top with beige bottom, A-line dress with geometric pattern"
11,pink,beige,A-line,abstract,fair,hourglass,cotton,"['necklace', 'bracelet']",weekend,"pink top with beige bottom, A-line dress with abstract pattern"
12,pink,beige,A-line,plain,fair,hourglass,cotton,"['necklace', 'bracelet']",casual,"pink top with beige bottom, A-line dress with plain pattern"
13,pink,beige,Bodycon,geometric,fair,hourglass,silk,"['necklace', 'bracelet']",office,"pink top with beige bottom, Bodycon dress with geometric pattern"
14,pink,beige,Bodycon,abstract,fair,hourglass,silk,"['necklace', 'bracelet']",formal,"pink top with beige bottom, Bodycon dress with abstract pattern"
